0,0.00
1,0.01
2,0.04
3,0.08
4,0.14
5,0.21
6,0.32
7,0.45
8,0.63
9,0.86
10,1.16
11,1.51
12,1.91
13,2.34
14,2.80
15,3.28
16,3.77
17,4.27
18,4.77
19,5.28
20,5.79
21,6.31
22,6.82
23,7.34
24,7.85
25,8.37
26,8.89
27,9.41
28,9.93
29,10.45
30,10.97
31,11.49
32,12.01
33,12.53
34,13.05
35,13.57
36,14.09
37,14.62
38,15.14
39,15.66
40,16.18
41,16.70
42,17.22
43,17.75
44,18.27
45,18.79
46,19.31
47,19.83
48,20.35
49,20.88
50,21.40
51,21.92
52,22.44
53,22.96
54,23.48
55,24.01
56,24.53
57,25.05
58,25.57
59,26.09
60,26.62
61,27.14
62,27.66
63,28.18
64,28.70
65,29.22
66,29.75
67,30.27
68,30.79
69,31.31
70,31.83
71,32.36
72,32.88
73,33.40
74,33.92
75,34.44
76,34.96
77,35.49
78,36.01
79,36.53
80,37.05
81,37.57
82,38.10
83,38.62
84,39.14
85,39.66
86,40.18
87,40.70
88,41.23
89,41.75
90,42.27
91,42.79
92,43.31
93,43.84
94,44.36
95,44.88
96,45.40
97,45.92
98,46.45
99,46.97
